source,year,common,exp_location,lat,long,source,source_lat,source_long
cech,1984,white sturgeon,"Davis, California",38.5539,-121.7381,artificial spawning,38.5539,-121.7381
cech,1984,white sturgeon,"Davis, California",38.5539,-121.7381,artificial spawning,38.5539,-121.7381
cech,1984,white sturgeon,"Davis, California",38.5539,-121.7381,artificial spawning,38.5539,-121.7381
cech,1984,white sturgeon,"Davis, California",38.5539,-121.7381,artificial spawning,38.5539,-121.7381
cech,1984,white sturgeon,"Davis, California",38.5539,-121.7381,artificial spawning,38.5539,-121.7381
cech,1984,white sturgeon,"Davis, California",38.5539,-121.7381,artificial spawning,38.5539,-121.7381
cech,1984,striped bass,"Davis, California",38.5539,-121.7381,artificial spawning,38.4218,-121.3749
cech,1984,striped bass,"Davis, California",38.5539,-121.7381,artificial spawning,38.4218,-121.3749
cech,1984,striped bass,"Davis, California",38.5539,-121.7381,artificial spawning,38.4218,-121.3749
cech,1984,striped bass,"Davis, California",38.5539,-121.7381,artificial spawning,38.4218,-121.3749
cech,1984,striped bass,"Davis, California",38.5539,-121.7381,artificial spawning,38.4218,-121.3749
cech,1984,striped bass,"Davis, California",38.5539,-121.7381,artificial spawning,38.4218,-121.3749
secor,1998,atlantic sturgeon,"College Park, Maryland",38.9967,-76.9275,artificial spawning,41.0151,-77.5314
secor,1998,atlantic sturgeon,"College Park, Maryland",38.9967,-76.9275,artificial spawning,41.0151,-77.5314
secor,1998,atlantic sturgeon,"College Park, Maryland",38.9967,-76.9275,artificial spawning,41.0151,-77.5314
secor,1998,atlantic sturgeon,"College Park, Maryland",38.9967,-76.9275,artificial spawning,41.0151,-77.5314
secor,1998,atlantic sturgeon,"College Park, Maryland",38.9967,-76.9275,artificial spawning,41.0151,-77.5314
secor,1998,atlantic sturgeon,"College Park, Maryland",38.9967,-76.9275,artificial spawning,41.0151,-77.5314
secor,1998,atlantic sturgeon,"College Park, Maryland",38.9967,-76.9275,artificial spawning,41.0151,-77.5314
secor,1998,atlantic sturgeon,"College Park, Maryland",38.9967,-76.9275,artificial spawning,41.0151,-77.5314
secor,1998,atlantic sturgeon,"College Park, Maryland",38.9967,-76.9275,artificial spawning,41.0151,-77.5314
secor,1998,atlantic sturgeon,"College Park, Maryland",38.9967,-76.9275,artificial spawning,41.0151,-77.5314
secor,1998,atlantic sturgeon,"College Park, Maryland",38.9967,-76.9275,artificial spawning,41.0151,-77.5314
secor,1998,atlantic sturgeon,"College Park, Maryland",38.9967,-76.9275,artificial spawning,41.0151,-77.5314
mcnatt,2004,spot croaker,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,spot croaker,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,spot croaker,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,spot croaker,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,spot croaker,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,spot croaker,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,spot croaker,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,spot croaker,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,atlantic menhaden,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,atlantic menhaden,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,atlantic menhaden,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,atlantic menhaden,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,atlantic menhaden,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,atlantic menhaden,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,atlantic menhaden,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
mcnatt,2004,atlantic menhaden,"Beaufort, North Carolina",34.7167,-76.6500,wild,34.7167,-76.6500
toro-silva,2008,southern flounder,"Raleigh, North Carolina",35.7855,-78.6716,hatchery,35.7855,-78.6716
toro-silva,2008,southern flounder,"Raleigh, North Carolina",35.7855,-78.6716,hatchery,35.7855,-78.6716
toro-silva,2008,southern flounder,"Raleigh, North Carolina",35.7855,-78.6716,hatchery,35.7855,-78.6716
toro-silva,2008,southern flounder,"Raleigh, North Carolina",35.7855,-78.6716,hatchery,35.7855,-78.6716
toro-silva,2008,southern flounder,"Raleigh, North Carolina",35.7855,-78.6716,hatchery,35.7855,-78.6716
toro-silva,2008,southern flounder,"Raleigh, North Carolina",35.7855,-78.6716,hatchery,35.7855,-78.6716
toro-silva,2008,southern flounder,"Raleigh, North Carolina",35.7855,-78.6716,hatchery,35.7855,-78.6716
toro-silva,2008,southern flounder,"Raleigh, North Carolina",35.7855,-78.6716,hatchery,35.7855,-78.6716
toro-silva,2008,southern flounder,"Raleigh, North Carolina",35.7855,-78.6716,hatchery,35.7855,-78.6716
toro-silva,2008,southern flounder,"Raleigh, North Carolina",35.7855,-78.6716,hatchery,35.7855,-78.6716
toro-silva,2008,southern flounder,"Raleigh, North Carolina",35.7855,-78.6716,hatchery,35.7855,-78.6716
toro-silva,2008,southern flounder,"Raleigh, North Carolina",35.7855,-78.6716,hatchery,35.7855,-78.6716
