source,year,expdays,invvert,phylum,class,order,family,genus,species,jenv,jhab,aenv,ahab,migratory,zone,region,source,slat,slong,avgg,o2sat,o2method,tdeg,tmethod,response,rmeasure,salinity,ph,parmean,parmax,sstmin,sstmean,sstmax,dissox,damin,damean,damax,chlorange,chlomin,chlomax
cech,1984,30.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,transmontanus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,38.5539,-121.7381,0.60,84,constant,15,constant,growth rate,1.6000,33.234,8.208,37.882,59.848,10.711,14.784,18.773,6.363,0.306,0.356,0.409,6.768,6.611,13.379
cech,1984,30.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,transmontanus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,38.5539,-121.7381,0.60,58,constant,15,constant,growth rate,0.6000,33.234,8.208,37.882,59.848,10.711,14.784,18.773,6.363,0.306,0.356,0.409,6.768,6.611,13.379
cech,1984,30.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,transmontanus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,38.5539,-121.7381,0.60,84,constant,20,constant,growth rate,2.6000,33.234,8.208,37.882,59.848,10.711,14.784,18.773,6.363,0.306,0.356,0.409,6.768,6.611,13.379
cech,1984,30.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,transmontanus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,38.5539,-121.7381,0.60,58,constant,20,constant,growth rate,2.0000,33.234,8.208,37.882,59.848,10.711,14.784,18.773,6.363,0.306,0.356,0.409,6.768,6.611,13.379
cech,1984,30.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,transmontanus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,38.5539,-121.7381,0.60,84,constant,25,constant,growth rate,2.9000,33.234,8.208,37.882,59.848,10.711,14.784,18.773,6.363,0.306,0.356,0.409,6.768,6.611,13.379
cech,1984,30.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,transmontanus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,38.5539,-121.7381,0.50,58,constant,25,constant,growth rate,2.3000,33.234,8.208,37.882,59.848,10.711,14.784,18.773,6.363,0.306,0.356,0.409,6.768,6.611,13.379
cech,1984,34.00,vert,chordata,actinopterygii,perciformes,moronidae,morone,saxatilis,fr,riv,br,est,anadromous,demersal,temperate,non-wild,38.4218,-121.3749,0.50,84,constant,15,constant,growth rate,1.6000,33.234,8.208,37.882,59.848,10.711,14.784,18.773,6.363,0.306,0.356,0.409,6.768,6.611,13.379
cech,1984,34.00,vert,chordata,actinopterygii,perciformes,moronidae,morone,saxatilis,fr,riv,br,est,anadromous,demersal,temperate,non-wild,38.4218,-121.3749,0.50,58,constant,15,constant,growth rate,1.4000,33.234,8.208,37.882,59.848,10.711,14.784,18.773,6.363,0.306,0.356,0.409,6.768,6.611,13.379
cech,1984,34.00,vert,chordata,actinopterygii,perciformes,moronidae,morone,saxatilis,fr,riv,br,est,anadromous,demersal,temperate,non-wild,38.4218,-121.3749,0.50,84,constant,20,constant,growth rate,2.2000,33.234,8.208,37.882,59.848,10.711,14.784,18.773,6.363,0.306,0.356,0.409,6.768,6.611,13.379
cech,1984,34.00,vert,chordata,actinopterygii,perciformes,moronidae,morone,saxatilis,fr,riv,br,est,anadromous,demersal,temperate,non-wild,38.4218,-121.3749,0.50,58,constant,20,constant,growth rate,2.0000,33.234,8.208,37.882,59.848,10.711,14.784,18.773,6.363,0.306,0.356,0.409,6.768,6.611,13.379
cech,1984,34.00,vert,chordata,actinopterygii,perciformes,moronidae,morone,saxatilis,fr,riv,br,est,anadromous,demersal,temperate,non-wild,38.4218,-121.3749,0.50,84,constant,25,constant,growth rate,3.2000,33.234,8.208,37.882,59.848,10.711,14.784,18.773,6.363,0.306,0.356,0.409,6.768,6.611,13.379
cech,1984,34.00,vert,chordata,actinopterygii,perciformes,moronidae,morone,saxatilis,fr,riv,br,est,anadromous,demersal,temperate,non-wild,38.4218,-121.3749,0.50,58,constant,25,constant,growth rate,3.0000,33.234,8.208,37.882,59.848,10.711,14.784,18.773,6.363,0.306,0.356,0.409,6.768,6.611,13.379
secor,1998,10.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,oxyrinchus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,41.0151,-77.5314,5.00,32,constant,19,constant,growth rate,1.2000,26.546,7.701,31.763,49.794,3.030,12.191,25.507,6.215,0.386,0.412,0.431,2.913,12.068,14.981
secor,1998,10.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,oxyrinchus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,41.0151,-77.5314,5.00,76,constant,19,constant,growth rate,4.8000,26.546,7.701,31.763,49.794,3.030,12.191,25.507,6.215,0.386,0.412,0.431,2.913,12.068,14.981
secor,1998,10.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,oxyrinchus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,41.0151,-77.5314,5.00,37,constant,26,constant,growth rate,1.7800,26.546,7.701,31.763,49.794,3.030,12.191,25.507,6.215,0.386,0.412,0.431,2.913,12.068,14.981
secor,1998,10.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,oxyrinchus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,41.0151,-77.5314,5.00,87,constant,26,constant,growth rate,3.6500,26.546,7.701,31.763,49.794,3.030,12.191,25.507,6.215,0.386,0.412,0.431,2.913,12.068,14.981
secor,1998,10.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,oxyrinchus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,41.0151,-77.5314,5.00,32,constant,19,constant,growth rate,0.3000,26.546,7.701,31.763,49.794,3.030,12.191,25.507,6.215,0.386,0.412,0.431,2.913,12.068,14.981
secor,1998,10.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,oxyrinchus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,41.0151,-77.5314,5.00,76,constant,19,constant,growth rate,2.9500,26.546,7.701,31.763,49.794,3.030,12.191,25.507,6.215,0.386,0.412,0.431,2.913,12.068,14.981
secor,1998,10.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,oxyrinchus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,41.0151,-77.5314,5.00,37,constant,26,constant,growth rate,0.0000,26.546,7.701,31.763,49.794,3.030,12.191,25.507,6.215,0.386,0.412,0.431,2.913,12.068,14.981
secor,1998,10.00,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,oxyrinchus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,41.0151,-77.5314,5.00,87,constant,26,constant,growth rate,2.7000,26.546,7.701,31.763,49.794,3.030,12.191,25.507,6.215,0.386,0.412,0.431,2.913,12.068,14.981
secor,1998,1.75,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,oxyrinchus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,41.0151,-77.5314,5.00,32,constant,19,constant,respiration rate,0.2080,26.546,7.701,31.763,49.794,3.030,12.191,25.507,6.215,0.386,0.412,0.431,2.913,12.068,14.981
secor,1998,1.75,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,oxyrinchus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,41.0151,-77.5314,5.00,76,constant,19,constant,respiration rate,0.2180,26.546,7.701,31.763,49.794,3.030,12.191,25.507,6.215,0.386,0.412,0.431,2.913,12.068,14.981
secor,1998,1.75,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,oxyrinchus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,41.0151,-77.5314,5.00,37,constant,26,constant,respiration rate,0.1390,26.546,7.701,31.763,49.794,3.030,12.191,25.507,6.215,0.386,0.412,0.431,2.913,12.068,14.981
secor,1998,1.75,vert,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,oxyrinchus,fr,riv,br,est,anadromous,demersal,subtropical,non-wild,41.0151,-77.5314,5.00,87,constant,26,constant,respiration rate,0.2760,26.546,7.701,31.763,49.794,3.030,12.191,25.507,6.215,0.386,0.412,0.431,2.913,12.068,14.981
